"TCGA.KS.A41L.11A.11R.A23N.07" "TCGA.DO.A1JZ.11A.11R.A13Y.07" "TCGA.EL.A3ZO.11A.12R.A23N.07" "TCGA.ET.A3DW.11A.11R.A19O.07" "TCGA.EL.A3ZQ.11A.11R.A23N.07" "TCGA.H2.A2K9.11A.11R.A180.07" "TCGA.EL.A3T8.11A.11R.A22L.07" "TCGA.BJ.A2NA.11A.11R.A19O.07" "TCGA.E8.A2JQ.11A.11R.A180.07" "TCGA.EL.A3ZP.11A.11R.A23N.07" "TCGA.BJ.A28X.11A.11R.A22L.07" "TCGA.FY.A3TY.11A.12R.A22U.07" "TCGA.EL.A3ZG.11A.13R.A23N.07" "TCGA.KS.A41I.11A.11R.A23N.07" "TCGA.EL.A3H1.11A.11R.A21D.07" "TCGA.EL.A3ZT.11A.13R.A23N.07" "TCGA.EL.A3T3.11A.11R.A22L.07" "TCGA.EL.A3H2.11A.11R.A20F.07" "TCGA.EM.A1YC.11A.11R.A14Y.07" "TCGA.EL.A3ZL.11A.11R.A23N.07" "TCGA.BJ.A3PU.11A.11R.A220.07" "TCGA.BJ.A28R.11A.11R.A16R.07" "TCGA.BJ.A2N8.11A.11R.A18C.07" "TCGA.BJ.A290.11A.11R.A180.07" "TCGA.KS.A41J.11A.12R.A23N.07" "TCGA.EM.A1CW.11A.12R.A13Y.07" "TCGA.EL.A3T0.11A.12R.A22L.07" "TCGA.EL.A3MY.11A.12R.A21D.07" "TCGA.EL.A3MW.11A.11R.A20F.07" "TCGA.EL.A3T6.11A.11R.A220.07" "TCGA.EM.A1CS.11A.21R.A13Y.07" "TCGA.EL.A3GZ.11A.11R.A20F.07" "TCGA.EL.A3ZH.11A.11R.A23N.07" "TCGA.BJ.A28W.11A.11R.A32Y.07" "TCGA.ET.A2N5.11B.11R.A18C.07" "TCGA.EL.A3ZM.11A.12R.A23N.07" "TCGA.BJ.A2N7.11A.11R.A18C.07" "TCGA.EM.A3ST.11A.11R.A22U.07" "TCGA.EL.A3T1.11A.11R.A22L.07" "TCGA.EL.A3N3.11A.11R.A20F.07" "TCGA.GE.A2C6.11A.11R.A16R.07" "TCGA.EL.A3H7.11A.11R.A21D.07" "TCGA.ET.A3DP.11A.22R.A21D.07" "TCGA.EL.A3MX.11A.11R.A21D.07" "TCGA.EL.A3TA.11A.12R.A22L.07" "TCGA.EL.A3N2.11A.11R.A20F.07" "TCGA.EL.A3TB.11A.11R.A22L.07" "TCGA.BJ.A3PR.11A.11R.A220.07" "TCGA.EL.A3ZR.11A.11R.A23N.07" "TCGA.EL.A3ZS.11A.11R.A23N.07" "TCGA.EM.A1CV.11A.11R.A13Y.07" "TCGA.ET.A2MX.11C.11R.A23N.07" "TCGA.EL.A3T7.11A.21R.A22L.07" "TCGA.EL.A3T2.11A.11R.A22L.07" "TCGA.EL.A3ZK.11A.11R.A23N.07" "TCGA.EM.A1CT.11A.11R.A13Y.07" "TCGA.EM.A1CU.11A.11R.A13Y.07" "TCGA.BJ.A2N9.11A.11R.A18C.07"
"ENSG00000001617" 11.7370487196 9.85270745203 8.69214297903 7.37490429116 9.00132206696 7.3537102724 6.30138702816 8.12954395442 6.29474444066 6.36971010769 8.19563682542 6.90674440149 4.92302448593 6.0889889068 6.62541061837 8.12865008852 6.2935367495 7.4310439095 6.74759547838 4.10849370609 10.2481883062 6.27228210454 7.57051084975 6.53045998143 7.60407036141 3.39490878063 9.13400377115 7.48330149125 5.54358825627 6.74917379666 9.00425150114 7.88801178669 7.02277568909 16.1227191807 6.9495954745 7.56783955531 10.0511546431 9.57031165786 10.5779323588 4.61069293928 5.91299456235 5.76712153562 7.17632455559 9.1350559335 8.23211038503 3.83321013226 8.30206437127 6.04726524823 7.8660061495 3.53709549474 7.79872808106 8.50780382671 9.01489217616 6.4510137934 8.73910059271 5.45860243333 4.11632827608 7.50564212226
"ENSG00000003436" 2.86308983385 0.556051255417 2.83898375519 3.4594458601 2.24170928568 2.37962319265 2.83645896028 2.27319633601 1.92818366905 2.51387855886 3.35003371677 2.3579160784 2.1737178982 2.2871360728 2.18675483084 2.27054556017 3.16355502487 2.87810663597 6.70421986913 3.4746768511 1.98799243145 3.71481308563 1.74061544558 3.63465356841 2.4850151647 2.21707992766 4.53631387517 1.90469518293 3.2836598404 1.77733367622 1.25122331554 1.56217029884 0.833716246746 0.413805523296 2.30631344213 2.20763532237 2.73765708281 2.68266482568 3.28069212008 2.3187480528 3.42190946331 3.0681633416 2.63977035303 2.47170664969 1.29692122704 4.92183301269 3.64008331976 1.65191488775 2.74651269321 2.72512642243 1.54836457664 2.505984215 1.7875542453 1.57255084898 1.16206697076 5.11601841869 1.30269206393 3.22082879385
"ENSG00000004399" 6.34792965516 7.31546972554 7.43523618816 4.52951885897 5.26760754649 8.23132596822 5.99674292321 10.0024397571 9.94423866028 11.0049079293 11.6980642874 6.9085173407 3.1610980821 9.68473083527 5.28091459418 6.35203068884 6.16873966947 5.7055390181 8.40595566143 4.3325598003 5.75844250254 8.95133249695 7.54870211287 7.12250825376 6.3906658824 2.50042977549 11.0147856481 8.41516046356 5.6118452162 6.06514717884 6.36156186995 6.60592818644 2.83022743834 12.501077378 4.88743907394 4.54105873587 6.95352827037 5.77361059271 12.0887415818 6.05987167542 8.46924543142 5.85470821421 4.69294105147 7.85704872157 4.03739264262 6.6763976281 7.7952797905 7.6520204242 8.45516409318 7.04832019138 4.00820058613 4.51103294739 5.4294527967 6.54824449868 11.1325347651 5.38414553192 3.35249375916 7.29462883026
"ENSG00000004468" 0.430321424461 0.572617309288 0.5817794621 0.502080238586 0.645055106754 1.50253758375 0.449558256881 1.33757223145 5.30344619519 2.61673203088 5.42178131838 0.362243969128 0.267474494657 4.97723459403 1.1353925492 0.99116549594 0.660193827906 0.768952168936 1.33479717758 0.430145579243 0.334551597575 2.47352719846 0.912634184398 0.444137784942 1.76737533524 0.807122056886 1.01533346078 0.718506634746 0.465319210331 1.90458054862 0.682129298842 0.4524088387 0.184716577128 2.93107358565 0.544303898197 0.337439120657 0.5904321564 0.223061827446 2.47135672237 3.81784423318 2.68330218769 0.784912972862 0.733141153202 0.535093461028 0.176443848175 0.726626147323 1.37487906378 2.72502702244 0.458042880051 10.3650598007 0.228051268061 0.350815688173 0.313717584843 0.190859518453 1.65480822945 0.706434316702 1.05232572312 1.72511786338
"ENSG00000004776" 13.6705584948 2.59802788978 17.1192629908 4.55924473626 12.8966760372 8.50261121043 10.428838751 8.71201887226 4.94000906133 7.76374153663 5.65896107014 12.590065369 6.40362975572 6.22334772514 6.73083454854 7.18968054429 10.2089417942 7.21033010617 32.8255883691 11.3702517472 6.24041143232 9.3478867095 3.41705814381 20.4636792707 5.03273453329 2.21587636668 7.79768360063 10.6531737024 14.9823200857 6.26975396522 7.69688212265 7.77258794308 6.41454982882 0.889694450643 4.08919515146 21.6815382076 3.11465867674 8.01452198031 11.380304262 3.2324556799 4.41728016607 7.92032062601 6.08654007749 19.3647221801 6.66116568956 7.44782331681 15.2782571594 5.78626039869 11.657621301 1.88598197521 4.35370214292 7.96027688259 10.7385384026 7.5028323113 9.20286455047 11.4302295224 2.38458531924 8.09037543153
"ENSG00000005884" 27.5371198242 20.3953905558 25.7587545137 41.7276394245 25.9720132279 31.0756071581 33.7713716808 26.2673670722 31.3586729507 23.403455398 25.9476665344 29.3887227886 18.4475584193 24.3463846855 25.3020544001 29.377225367 30.2142871724 30.1225802435 25.9009896351 29.7897183225 28.22586094 27.1501199323 30.4160219102 31.8468685481 28.8657947807 20.9506538331 23.4031449577 35.256730407 26.2824204874 29.5909233618 24.2717271103 39.1862028268 27.7931541573 22.6788921854 28.1486083781 18.8144371695 30.6951858078 23.2176481439 42.8967350298 26.7796832976 23.7697540254 28.8132942897 31.2214673423 34.8126500259 28.1192554622 39.8048359426 24.0704153555 23.1671822415 25.3349897818 7.60434397308 31.7704936943 25.5270094216 28.269075896 33.2767374885 24.9610891436 32.0128125139 28.9413481717 28.3831198892
"ENSG00000006016" 1.94521011751 1.06776347906 4.23938707237 1.68171189661 3.02445030679 0.859685403273 2.64867624342 1.87979773619 0.728962055564 1.65457758752 1.10366795359 1.04431130494 2.19910200228 1.129260281 1.5018544163 1.1230530034 2.93983868344 2.77130161977 7.83674194009 0.661999888717 1.12463876012 1.51415173246 6.33255300384 2.49048000276 1.50850416002 0.276571547009 1.72175187511 2.43822110016 0.347123360356 1.45205230174 1.41046026679 1.65856416015 3.0395784328 0.14979505042 1.2920901854 1.86822112558 5.57005252035 4.88468674284 2.162527745 1.02156467914 0.878319970367 1.60404964139 3.6367721445 3.11659585064 0.894024437936 1.22591597736 1.79759428015 2.56715111767 4.44259471986 2.66399640832 1.85473556643 0.573719652269 3.36595218963 1.11826628777 1.07150563725 2.59272963372 0.649650337453 1.29360348946
"ENSG00000006042" 13.6628373316 12.6863974382 14.7810205119 12.5857752376 12.4563190156 12.2938278299 16.807379514 11.1877281873 7.75820388584 13.5426363483 8.54815895537 10.8893096373 12.5612392802 13.8637109779 11.3199444287 13.8401433485 14.9862191889 12.7733215857 7.5103403809 16.8176463303 14.0826126817 11.6450032751 13.1955364303 12.3215864991 7.74461464772 14.0782161349 10.3395009294 15.6421380042 12.7361668352 14.8946942474 21.2097372424 14.5451938116 9.76725583247 12.8556035607 16.704313055 12.0162752112 15.7711412292 11.1794396017 13.900912922 10.1718068986 10.1808255007 9.6941736327 12.2693823909 10.815858328 11.8616067203 12.2695271714 17.5270110233 9.97095993362 17.279364093 5.32198152518 15.072562505 15.7819175061 14.7919724934 13.4916964379 9.78904998669 16.1560145169 12.3560605966 11.9115372162
"ENSG00000006118" 0.553592266475 0.57286010418 0.568642522307 0.266125530139 0.446768817979 0.575594452535 0.484078266877 0.692338389964 0.867375618198 0.940048854055 0.937513952485 0.388805895326 0.351619163195 0.989532893737 0.63228551902 0.500679232893 0.287562641499 0.792005763106 0.678195076256 0.418800584065 0.555122832406 1.13883259874 0.670235006361 0.318952259284 0.579567808894 0.127917261238 0.607564931703 0.496893956712 0.477405154693 0.59228106368 1.2351998081 0.434007798775 0.257517135887 3.88599799001 0.41863241821 0.467257869829 0.520793500948 0.520356850781 1.36551024475 0.391407238658 1.32512329779 0.562733824151 0.453037476267 0.559829187481 0.462486397941 0.54660417447 0.371163543814 1.89546126806 0.701990307768 1.48160212383 0.279735914436 0.390278231338 0.431977934866 0.550043131695 1.09209149897 0.322266132869 0.246757651471 0.8622241675
"ENSG00000006210" 5.96018782027 8.97876154731 8.28997482942 3.43828463755 11.4906725687 5.70718837611 5.12726544978 9.09828467768 11.1906336432 12.5932500253 12.0977063679 4.57182171124 3.49189362266 16.6395800904 7.35284770977 5.07490251767 4.55228253445 4.06646089138 8.11373812826 4.942194857 7.29605582655 9.21707297912 6.91306708127 5.54786711016 8.04325650609 1.92524860746 10.7779232655 8.8139439093 6.4603751461 15.4272298876 11.4402326583 8.8573465813 3.72618551397 7.95489415199 5.30323491025 4.77535637052 6.75655403961 10.281868584 22.6262716081 6.76894309999 5.37439221336 11.8964582376 7.11600922779 7.7624938699 5.18728930234 5.98284768034 10.7723903211 8.65683869737 6.09614725424 11.7565742516 3.6468062601 5.49325885784 6.73951417798 7.72574429609 8.51214783228 3.97576472962 2.37429815887 15.1788008117
